iter	Passed	Remaining
0	135	13384
1	136	6666
2	136	4419
3	137	3296
4	137	2621
5	138	2171
6	139	1849
7	139	1607
8	140	1419
9	141	1272
10	142	1151
11	142	1047
12	143	959
13	144	884
14	144	819
15	145	761
16	145	711
17	146	666
18	146	625
19	147	589
20	147	556
21	148	525
22	148	498
23	149	472
24	149	449
25	150	427
26	150	407
27	151	389
28	152	372
29	152	355
30	153	340
31	153	326
32	154	312
33	154	299
34	155	287
35	155	276
36	156	265
37	156	255
38	156	245
39	157	236
40	158	227
41	158	219
42	159	211
43	159	203
44	160	196
45	160	188
46	161	182
47	161	175
48	162	169
49	162	162
50	163	156
51	163	151
52	164	145
53	165	140
54	165	135
55	166	130
56	166	125
57	167	121
58	167	116
59	168	112
60	169	108
61	170	104
62	170	100
63	171	96
64	171	92
65	171	88
66	172	84
67	172	81
68	173	77
69	173	74
70	174	71
71	175	68
72	175	64
73	176	61
74	176	58
75	177	56
76	177	53
77	178	50
78	179	47
79	179	44
80	180	42
81	180	39
82	181	37
83	181	34
84	182	32
85	182	29
86	183	27
87	184	25
88	184	22
89	185	20
90	185	18
91	186	16
92	186	14
93	187	11
94	187	9
95	188	7
96	188	5
97	189	3
98	189	1
99	190	0
