iter	Passed	Remaining
0	172	171932
1	174	87198
2	178	59185
3	180	45067
4	184	36795
5	188	31228
6	192	27306
7	195	24206
8	198	21870
9	201	19954
10	204	18378
11	207	17061
12	209	15940
13	213	15032
14	216	14217
15	219	13494
16	226	13083
17	230	12557
18	233	12069
19	237	11626
20	239	11183
21	244	10869
22	247	10502
23	249	10164
24	252	9859
25	255	9572
26	257	9288
27	259	9018
28	261	8765
29	264	8543
30	267	8351
31	268	8137
32	270	7939
33	273	7763
34	275	7594
35	277	7428
36	279	7271
37	281	7120
38	283	6986
39	285	6861
40	287	6732
41	289	6607
42	291	6481
43	293	6368
44	294	6255
45	296	6144
46	297	6032
47	299	5933
48	300	5836
49	302	5739
50	303	5647
51	305	5560
52	306	5484
53	308	5405
54	309	5324
55	311	5249
56	312	5172
57	314	5105
58	316	5052
59	318	4984
60	319	4920
61	321	4865
62	323	4811
63	325	4757
64	326	4701
65	328	4645
66	329	4593
67	331	4537
68	332	4483
69	333	4431
70	334	4381
71	336	4335
72	338	4298
73	339	4251
74	340	4201
75	341	4153
76	342	4108
77	343	4063
78	344	4020
79	346	3980
80	347	3937
81	348	3899
82	348	3853
83	349	3814
84	350	3776
85	351	3740
86	352	3703
87	353	3666
88	354	3630
89	355	3595
90	356	3560
91	357	3526
92	358	3493
93	359	3464
94	360	3433
95	361	3401
96	362	3372
97	363	3341
98	364	3313
99	365	3287
100	366	3261
101	367	3234
102	368	3209
103	369	3183
104	370	3157
105	371	3132
106	372	3107
107	373	3082
108	374	3058
109	375	3035
110	375	3010
111	376	2987
112	377	2964
113	378	2942
114	379	2919
115	380	2896
116	380	2873
117	381	2851
118	382	2833
119	383	2812
120	384	2791
121	384	2770
122	385	2750
123	386	2730
124	387	2711
125	388	2694
126	389	2676
127	390	2660
128	391	2643
129	392	2625
130	393	2607
131	394	2591
132	394	2574
133	395	2557
134	396	2540
135	397	2524
136	398	2508
137	398	2492
138	399	2476
139	400	2460
140	401	2445
141	401	2428
142	402	2414
143	403	2400
144	404	2387
145	405	2373
146	407	2362
147	407	2348
148	408	2333
149	409	2320
150	410	2308
151	412	2299
152	413	2286
153	414	2274
154	415	2266
155	416	2255
156	417	2243
157	418	2231
158	420	2222
159	421	2210
160	421	2197
161	422	2185
162	423	2173
163	423	2161
164	424	2150
165	425	2138
166	426	2126
167	427	2115
168	427	2104
169	428	2093
170	429	2082
171	430	2072
172	431	2061
173	432	2051
174	432	2041
175	433	2031
176	434	2021
177	436	2013
178	436	2003
179	437	1993
180	438	1984
181	439	1974
182	440	1965
183	440	1955
184	441	1945
185	442	1936
186	443	1927
187	444	1918
188	445	1909
189	445	1900
190	446	1891
191	447	1883
192	448	1874
193	448	1865
194	449	1856
195	450	1847
196	451	1839
197	452	1831
198	453	1823
199	453	1815
200	454	1808
201	455	1800
202	456	1792
203	457	1784
204	458	1777
205	459	1772
206	460	1764
207	461	1757
208	462	1748
209	463	1741
210	463	1734
211	464	1726
212	465	1718
213	466	1711
214	466	1705
215	468	1699
216	469	1692
217	469	1685
218	470	1678
219	471	1671
220	472	1664
221	473	1657
222	473	1650
223	474	1644
224	475	1638
225	476	1631
226	476	1624
227	477	1617
228	478	1610
229	478	1603
230	479	1596
231	480	1589
232	481	1583
233	481	1576
234	482	1570
235	483	1563
236	483	1556
237	484	1550
238	484	1543
239	485	1537
240	486	1531
241	486	1525
242	487	1519
243	488	1513
244	489	1508
245	490	1502
246	491	1496
247	491	1490
248	492	1484
249	492	1478
250	493	1472
251	494	1466
252	494	1460
253	495	1455
254	496	1450
255	497	1445
256	498	1439
257	498	1434
258	499	1428
259	500	1423
260	500	1417
261	501	1412
262	501	1406
263	502	1400
264	503	1396
265	504	1392
266	505	1387
267	506	1382
268	506	1377
269	507	1371
270	508	1366
271	508	1361
272	509	1356
273	509	1351
274	510	1346
275	511	1341
276	512	1336
277	512	1332
278	513	1327
279	514	1322
280	514	1317
281	515	1312
282	516	1308
283	517	1303
284	517	1299
285	518	1294
286	519	1290
287	520	1286
288	520	1281
289	521	1276
290	522	1272
291	522	1267
292	523	1263
293	524	1258
294	524	1254
295	525	1250
296	526	1245
297	527	1242
298	529	1240
299	529	1236
300	530	1231
301	530	1227
302	531	1223
303	532	1219
304	533	1214
305	533	1210
306	534	1206
307	535	1203
308	536	1198
309	537	1195
310	537	1191
311	538	1187
312	539	1183
313	540	1179
314	540	1176
315	541	1172
316	542	1168
317	542	1164
318	543	1160
319	544	1156
320	544	1152
321	545	1148
322	546	1145
323	547	1141
324	547	1137
325	548	1133
326	548	1129
327	549	1126
328	550	1122
329	551	1118
330	551	1114
331	552	1111
332	552	1107
333	553	1104
334	554	1100
335	554	1096
336	555	1093
337	556	1089
338	556	1085
339	557	1082
340	558	1078
341	558	1075
342	559	1071
343	560	1068
344	560	1064
345	561	1061
346	562	1058
347	563	1054
348	563	1051
349	564	1047
350	565	1044
351	565	1041
352	566	1038
353	567	1035
354	567	1031
355	568	1028
356	569	1025
357	569	1021
358	570	1018
359	571	1015
360	571	1012
361	572	1009
362	573	1006
363	574	1003
364	575	1000
365	575	997
366	576	994
367	577	991
368	577	987
369	578	984
370	579	981
371	579	978
372	580	976
373	581	973
374	582	970
375	582	967
376	583	964
377	583	960
378	584	957
379	585	954
380	585	951
381	586	948
382	587	945
383	587	943
384	588	940
385	589	937
386	590	935
387	591	932
388	591	929
389	592	926
390	593	923
391	593	921
392	594	918
393	595	915
394	596	912
395	596	910
396	597	907
397	598	904
398	598	901
399	599	899
400	600	896
401	600	893
402	601	890
403	601	888
404	602	885
405	603	883
406	605	881
407	606	879
408	606	876
409	607	874
410	608	871
411	608	868
412	609	866
413	610	863
414	610	860
415	611	858
416	612	855
417	612	853
418	613	850
419	614	848
420	615	845
421	615	843
422	616	840
423	616	838
424	617	835
425	618	833
426	619	830
427	619	828
428	620	825
429	621	823
430	621	820
431	622	818
432	623	816
433	624	814
434	624	811
435	625	809
436	627	807
437	627	805
438	628	803
439	629	801
440	630	798
441	630	796
442	631	794
443	632	791
